id,smiles,notes,params_json
10485034,CCCC1=NC(=C(N1CC2=C(C=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)OCCC(C)C)F)C(=O)CCN(C4=CN=CC=C4)C(=O)CC)CC,,
10485116,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)C4=CC=CC=C4Cl)C5=C(C=CC(=C5)C(=O)NCCCC)Cl,,
10485202,CCCCC1=NN(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3S(=O)(=O)NC(=O)C4=CC=CC=C4Cl)C5=C(C=CC(=C5)C(=O)N(C)CCCC)Cl,,
10485602,CC(C)CC(C1=NC2=C(C=C(C=C2C=C1)C3=CC=C(C=C3)CC(CC4=CC=C(C=C4)C(F)(F)P(=O)(O)O)(C5=CC=CC=C5)N6C7=CC=CC=C7N=N6)P(=O)(O)O)OC,,
10488208,C1CN[C@@H]1COC2=C(N=CC=C2)Cl,,
10489502,C1=CC(=C(C(=C1)Cl)NC2=NC=CN2)Cl,,
10490084,C1=CC=C(C(=C1)NC2=NC=CN2)Br,,
10491405,C1=CC(=CC=C1C2=NOC(=N2)C(F)(F)F)C(=O)O,,
10493109,CC(=O)OC[C@@H]1CN(CC[C@@H]1C2=CC=C(C=C2)Cl)C,,
10495305,C1CNC[C@H]([C@@H]1F)C2=C(NC3=C2C=CC=C3F)C4=CC=CC=C4,,
10495476,COC1=C(C=C(C=C1)F)CN[C@H]2CCCN[C@H]2C3=CC=CC=C3,,
10495787,C1CNC[C@H]([C@@H]1F)C2=C(NC3=C2C=CC(=C3)F)C4=CSC=C4,,
10496851,CN(C)C1=CC=C(C=C1)C2=NC3=C(S2)C=C(C=C3)Br,,
10499475,CC1=CC(NC2=C1C3=C(C=C2)C4=CC=CC=C4OC3C5=CC(=CC=C5)F)(C)C,,
10500579,C1C[C@@]23[C@@H](NC(=O)N2)N4C(=CC(=C4Br)Br)C(=O)N3C1,,
10500778,C1CC12CC(=C(C2)C3=CC=C(C=C3)S(=O)(=O)N)C4=CC=C(C=C4)C(F)(F)F,,
10500818,CCC1(CC(=O)OCC2=C1C=C3C4=C(CN3C2=O)C=C5C=C(C(=CC5=N4)F)C)O,,
10500819,C1CCN(C1)C(=O)N2CC3=C(N=CN3C4=C2C=C(C=C4)F)C5=NOC(=N5)C6CC6,,
10501479,CC1=CC(NC2=C1C3=C(C=C2)C4=C(C=CC(=C4)Cl)OC3C5=CC(=CC=C5)F)(C)C,,
10501746,C1CCN(C1)C(=O)N2CC3=C(N=CN3C4=C2C(=CC=C4)Cl)C5=NOC(=N5)C6CC6,,
10502382,CO/N=C\1/C[C@@H](N(C1)S(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)F)C(=O)NO,,
10502670,CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)[C@@H]3CCC4=C(C3)C=CC=C4F,,
10502796,CN1CCC(CC1)(COCC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C3=CC=CC=C3,,
10503046,CC1=C(C=CC(=C1)C2C3=C(C=CC4=C3C(=CC(N4)(C)C)C)C5=C(O2)C=CC(=C5)Cl)Cl,,
10503358,CC1=CC(=CC=C1)CN2CCC(CC2)NC(=O)[C@@]([C@@H]3CCC(C3)(F)F)(C4=CC=CC=C4)O,,
10503520,CC1=CC(=CC(=C1)Br)C2C3=C(C=CC4=C3C(=CC(N4)(C)C)C)C5=CC=CC=C5O2,,
10503687,C1CN(CCC1(CCC2=CC(=CC=C2)F)F)CCCC3=CNC4=C3C=C(C=C4)N5C=NN=C5,,
10503731,C1CN(CCN1CCCC2=CNC3=C2C=C(C=C3)N4C=NN=C4)CCC5=CC(=CC(=C5)F)F,,
10503921,CC1=CC2=C(C=C1CC(=O)C3=C(C=CS3)S(=O)(=O)NC4=NOC(=C4Cl)C)OCO2,,
10504397,C1CN(CCN1CCCC2=CC=C(C=C2)O)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,,
10505288,CC1=NN(C(=C1)C(=O)NC2=C(C=C(C=C2)C3=CC=CC=C3S(=O)(=O)N)F)C4=CC=CC(=C4)C(=N)N,,
10506222,COCC1=C([C@H](NC(=O)N1)C2=CC(=C(C=C2)F)F)C(=O)NCCCN3CCC(CC3)C4=CC=CC=C4C#N,,
10506326,CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2Br)Br)C3=CC=C(C=C3)Cl,,
10506484,CC1=C(C(N(C(=N1)C)CCCCCN2CCC(CC2)(C#N)C3=CC=CC=C3)C4=CC(=C(C=C4)F)F)C(=O)OC,,
10506723,CC(C(=O)C(F)(F)F)NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@H](C(C)(C)C)NC(=O)CCC1=CC=C(C=C1)O,,
